"incidence","village","week"
32.917,"A",1
32.618,"A",2
32.189,"A",3
32.67,"A",4
32.085,"A",5
32.332,"A",6
32.059,"A",7
32.826,"A",8
32.267,"A",9
33.177,"A",10
32.891,"A",11
33.268,"A",12
33.853,"A",13
33.476,"A",14
32.748,"A",15
33.138,"A",16
32.696,"A",17
32.228,"A",18
32.891,"A",19
34.074,"A",20
33.32,"A",21
33.294,"A",22
32.54,"A",23
33.242,"A",24
32.969,"A",25
31.773,"A",26
31.877,"A",27
32.098,"A",28
31.747,"A",29
30.265,"A",30
31.877,"A",31
31.786,"A",32
31.474,"A",33
32.553,"A",34
32.124,"A",35
33.216,"A",36
32.514,"A",37
33.697,"A",38
33.398,"A",39
32.904,"A",40
32.007,"A",41
32.267,"A",42
34.633,"A",43
34.334,"A",44
34.555,"A",45
33.827,"A",46
35.517,"A",47
34.971,"A",48
35.556,"A",49
36.947,"A",50
38.988,"A",51
35.673,"A",52
36.05,"A",53
35.569,"A",54
33.333,"A",55
34.165,"A",56
34.334,"A",57
33.294,"A",58
32.774,"A",59
33.775,"A",60
34.217,"A",61
33.385,"A",62
34.139,"A",63
32.709,"A",64
32.774,"A",65
33.294,"A",66
33.203,"A",67
34.113,"A",68
34.724,"A",69
34.516,"A",70
34.217,"A",71
34.971,"A",72
36.674,"A",73
35.023,"A",74
35.088,"A",75
34.477,"A",76
35.283,"A",77
35.218,"A",78
34.542,"A",79
33.905,"A",80
33.424,"A",81
33.112,"A",82
31.864,"A",83
31.76,"A",84
32.228,"A",85
32.306,"A",86
32.241,"A",87
33.541,"A",88
32.67,"A",89
34.022,"A",90
32.8,"A",91
33.021,"A",92
33.619,"A",93
36.037,"A",94
36.531,"A",95
35.309,"A",96
35.166,"A",97
34.334,"A",98
33.32,"A",99
33.06,"A",100
31.552,"A",101
31.305,"A",102
32.254,"A",103
32.631,"A",104
32.54,"A",105
34.594,"A",106
33.697,"A",107
34.048,"A",108
34.854,"A",109
35.751,"A",110
36.453,"A",111
39.235,"A",112
37.792,"A",113
38.208,"A",114
38.195,"A",115
40.639,"A",116
40.756,"A",117
41.367,"A",118
38.975,"A",119
39.001,"A",120
40.652,"A",121
40.288,"A",122
38.975,"A",123
40.418,"A",124
40.821,"A",125
40.184,"A",126
38.754,"A",127
38.806,"A",128
37.714,"A",129
35.478,"A",130
34.828,"A",131
34.841,"A",132
35.101,"A",133
34.477,"A",134
34.984,"A",135
35.387,"A",136
35.881,"A",137
35.543,"A",138
35.868,"A",139
37.623,"A",140
38.611,"A",141
38.858,"A",142
39.469,"A",143
41.978,"A",144
42.953,"A",145
42.303,"A",146
41.458,"A",147
43.356,"A",148
44.89,"A",149
44.058,"A",150
45.904,"A",151
44.669,"A",152
42.784,"A",153
40.197,"A",154
38.845,"A",155
38.299,"A",156
36.388,"A",157
39.391,"A",158
39.482,"A",159
40.431,"A",160
42.108,"A",161
40.548,"A",162
41.302,"A",163
40.301,"A",164
39.937,"A",165
41.601,"A",166
43.044,"A",167
46.333,"A",168
45.839,"A",169
44.656,"A",170
45.839,"A",171
42.303,"A",172
44.565,"A",173
43.499,"A",174
44.279,"A",175
42.719,"A",176
43.668,"A",177
44.539,"A",178
45.605,"A",179
43.59,"A",180
43.889,"A",181
42.329,"A",182
40.015,"A",183
33.125,"A",184
36.011,"A",185
35.257,"A",186
35.647,"A",187
34.23,"A",188
33.229,"A",189
34.022,"A",190
34.243,"A",191
33.502,"A",192
35.166,"A",193
35.53,"A",194
36.024,"A",195
35.231,"A",196
35.036,"A",197
34.893,"A",198
33.944,"A",199
33.736,"A",200
36.154,"A",201
36.375,"A",202
36.635,"A",203
36.375,"A",204
38.546,"A",205
38.949,"A",206
37.22,"A",207
37.831,"A",208
37.961,"A",209
37.22,"A",210
36.258,"A",211
36.063,"A",212
37.168,"A",213
37.48,"A",214
37.259,"A",215
36.726,"A",216
36.687,"A",217
37.558,"A",218
36.193,"A",219
34.191,"A",220
33.437,"A",221
35.829,"A",222
37.233,"A",223
36.635,"A",224
35.946,"A",225
37.181,"A",226
34.997,"A",227
34.854,"A",228
34.607,"A",229
35.998,"A",230
36.427,"A",231
36.492,"A",232
36.375,"A",233
37.35,"A",234
36.726,"A",235
36.778,"A",236
36.232,"A",237
35.673,"A",238
35.699,"A",239
35.556,"A",240
36.167,"A",241
37.155,"A",242
37.168,"A",243
37.064,"A",244
37.597,"A",245
39.846,"A",246
39.95,"A",247
39.768,"A",248
45.696,"A",249
46.528,"A",250
46.346,"A",251
47.035,"A",252
48.543,"A",253
47.061,"A",254
48.387,"A",255
46.632,"A",256
42.732,"A",257
45.579,"A",258
44.838,"A",259
45.969,"A",260
43.59,"A",261
43.772,"A",262
47.568,"A",263
52.3,"A",264
51.299,"A",265
49.687,"A",266
49.011,"A",267
48.062,"A",268
37.064,"A",269
49.024,"A",270
48.777,"A",271
50.532,"A",272
47.815,"A",273
46.515,"A",274
45.475,"A",275
46.099,"A",276
46.528,"A",277
47.217,"A",278
47.282,"A",279
45.02,"A",280
42.706,"A",281
43.707,"A",282
41.991,"A",283
42.238,"A",284
42.095,"A",285
41.835,"A",286
41.666,"A",287
39.495,"A",288
39.17,"A",289
39.105,"A",290
38.741,"A",291
40.028,"A",292
41.081,"A",293
41.757,"A",294
43.434,"A",295
44.487,"A",296
45.176,"A",297
45.085,"A",298
44.227,"A",299
46.892,"A",300
52.274,"A",301
53.275,"A",302
55.693,"A",303
54.276,"A",304
59.268,"A",305
58.592,"A",306
58.137,"A",307
53.223,"A",308
55.316,"A",309
57.149,"A",310
58.904,"A",311
59.216,"A",312
57.942,"A",313
58.254,"A",314
55.485,"A",315
50.051,"A",316
47.672,"A",317
50.233,"A",318
51.182,"A",319
50.831,"A",320
52.118,"A",321
50.831,"A",322
52.469,"A",323
51.416,"A",324
48.439,"A",325
48.751,"A",326
45.709,"A",327
46.684,"A",328
47.945,"A",329
51.26,"A",330
52.794,"A",331
53.158,"A",332
52.95,"A",333
52.157,"A",334
51.676,"A",335
50.61,"A",336
51.715,"A",337
48.816,"A",338
49.557,"A",339
49.05,"A",340
49.011,"A",341
47.347,"A",342
47.139,"A",343
48.478,"A",344
46.567,"A",345
49.193,"A",346
49.232,"A",347
46.905,"A",348
50.948,"A",349
52.3,"A",350
55.212,"A",351
54.887,"A",352
52.534,"A",353
53.951,"A",354
53.08,"A",355
50.363,"A",356
48.348,"A",357
47.62,"A",358
46.944,"A",359
46.671,"A",360
46.32,"A",361
43.798,"A",362
41.64,"A",363
41.12,"A",364
41.432,"A",365
42.173,"A",366
43.33,"A",367
42.758,"A",368
41.51,"A",369
42.407,"A",370
42.225,"A",371
44.24,"A",372
44.812,"A",373
44.214,"A",374
42.147,"A",375
41.003,"A",376
38.702,"A",377
38.897,"A",378
40.093,"A",379
40.262,"A",380
39.716,"A",381
38.546,"A",382
39.196,"A",383
41.042,"A",384
41.133,"A",385
41.133,"A",386
40.561,"A",387
39.729,"A",388
39.508,"A",389
37.961,"A",390
37.051,"A",391
36.947,"A",392
38.286,"A",393
37.35,"A",394
36.531,"A",395
37.48,"A",396
37.805,"A",397
39.482,"A",398
38.468,"A",399
39.898,"A",400
40.717,"A",401
44.136,"A",402
46.996,"A",403
49.141,"A",404
47.971,"A",405
55.329,"A",406
53.561,"A",407
50.428,"A",408
51.988,"A",409
50.09,"A",410
51.013,"A",411
50.103,"A",412
47.581,"A",413
49.31,"A",414
49.271,"A",415
49.232,"A",416
57.448,"A",417
53.418,"A",418
52.859,"A",419
50.519,"A",420
67.523,"A",421
54.653,"A",422
57.149,"A",423
59.359,"A",424
62.479,"A",425
59.515,"A",426
56.122,"A",427
56.863,"A",428
50.506,"A",429
49.141,"A",430
46.489,"A",431
45.605,"A",432
47.477,"A",433
45.618,"A",434
47.464,"A",435
47.581,"A",436
47.165,"A",437
68.849,"A",438
47.711,"A",439
49.089,"A",440
49.141,"A",441
46.645,"A",442
66.899,"A",443
46.385,"A",444
46.333,"A",445
44.591,"A",446
43.538,"A",447
42.94,"A",448
42.888,"A",449
44.981,"A",450
44.669,"A",451
46.671,"A",452
45.631,"A",453
48.01,"A",454
49.349,"A",455
52.092,"A",456
52.625,"A",457
50.584,"A",458
50.87,"A",459
51.767,"A",460
52.209,"A",461
48.738,"A",462
42.212,"B",1
42.147,"B",2
41.237,"B",3
38.325,"B",4
35.387,"B",5
36.414,"B",6
35.777,"B",7
35.218,"B",8
33.84,"B",9
36.414,"B",10
41.861,"B",11
36.492,"B",12
37.87,"B",13
40.483,"B",14
39.508,"B",15
41.51,"B",16
40.08,"B",17
43.785,"B",18
48.998,"B",19
54.471,"B",20
62.284,"B",21
60.75,"B",22
53.392,"B",23
48.452,"B",24
49.427,"B",25
43.2,"B",26
42.498,"B",27
38.221,"B",28
36.96,"B",29
34.581,"B",30
34.061,"B",31
33.073,"B",32
33.099,"B",33
32.306,"B",34
32.436,"B",35
33.125,"B",36
33.242,"B",37
