"incidence","village","week"
154.8,"A",1
150.2,"A",2
143.6,"A",3
151,"A",4
142,"A",5
145.8,"A",6
141.6,"A",7
153.4,"A",8
144.8,"A",9
158.8,"A",10
154.4,"A",11
160.2,"A",12
169.2,"A",13
163.4,"A",14
152.2,"A",15
158.2,"A",16
151.4,"A",17
144.2,"A",18
154.4,"A",19
172.6,"A",20
161,"A",21
160.6,"A",22
149,"A",23
159.8,"A",24
155.6,"A",25
137.2,"A",26
138.8,"A",27
142.2,"A",28
136.8,"A",29
114,"A",30
138.8,"A",31
137.4,"A",32
132.6,"A",33
149.2,"A",34
142.6,"A",35
159.4,"A",36
148.6,"A",37
166.8,"A",38
162.2,"A",39
154.6,"A",40
140.8,"A",41
144.8,"A",42
181.2,"A",43
176.6,"A",44
180,"A",45
168.8,"A",46
194.8,"A",47
186.4,"A",48
195.4,"A",49
216.8,"A",50
248.2,"A",51
197.2,"A",52
203,"A",53
195.6,"A",54
161.2,"A",55
174,"A",56
176.6,"A",57
160.6,"A",58
152.6,"A",59
168,"A",60
174.8,"A",61
162,"A",62
173.6,"A",63
151.6,"A",64
152.6,"A",65
160.6,"A",66
159.2,"A",67
173.2,"A",68
182.6,"A",69
179.4,"A",70
174.8,"A",71
186.4,"A",72
212.6,"A",73
187.2,"A",74
188.2,"A",75
178.8,"A",76
191.2,"A",77
190.2,"A",78
179.8,"A",79
170,"A",80
162.6,"A",81
157.8,"A",82
138.6,"A",83
137,"A",84
144.2,"A",85
145.4,"A",86
144.4,"A",87
164.4,"A",88
151,"A",89
171.8,"A",90
153,"A",91
156.4,"A",92
165.6,"A",93
202.8,"A",94
210.4,"A",95
191.6,"A",96
189.4,"A",97
176.6,"A",98
161,"A",99
157,"A",100
133.8,"A",101
130,"A",102
144.6,"A",103
150.4,"A",104
149,"A",105
180.6,"A",106
166.8,"A",107
172.2,"A",108
184.6,"A",109
198.4,"A",110
209.2,"A",111
252,"A",112
229.8,"A",113
236.2,"A",114
236,"A",115
273.6,"A",116
275.4,"A",117
284.8,"A",118
248,"A",119
248.4,"A",120
273.8,"A",121
268.2,"A",122
248,"A",123
270.2,"A",124
276.4,"A",125
266.6,"A",126
244.6,"A",127
245.4,"A",128
228.6,"A",129
194.2,"A",130
184.2,"A",131
184.4,"A",132
188.4,"A",133
178.8,"A",134
186.6,"A",135
192.8,"A",136
200.4,"A",137
195.2,"A",138
200.2,"A",139
227.2,"A",140
242.4,"A",141
246.2,"A",142
255.6,"A",143
294.2,"A",144
309.2,"A",145
299.2,"A",146
286.2,"A",147
315.4,"A",148
339,"A",149
326.2,"A",150
354.6,"A",151
335.6,"A",152
306.6,"A",153
266.8,"A",154
246,"A",155
237.6,"A",156
208.2,"A",157
254.4,"A",158
255.8,"A",159
270.4,"A",160
296.2,"A",161
272.2,"A",162
283.8,"A",163
268.4,"A",164
262.8,"A",165
288.4,"A",166
310.6,"A",167
361.2,"A",168
353.6,"A",169
335.4,"A",170
353.6,"A",171
299.2,"A",172
334,"A",173
317.6,"A",174
329.6,"A",175
305.6,"A",176
320.2,"A",177
333.6,"A",178
350,"A",179
319,"A",180
323.6,"A",181
299.6,"A",182
264,"A",183
158,"A",184
202.4,"A",185
190.8,"A",186
196.8,"A",187
175,"A",188
159.6,"A",189
171.8,"A",190
175.2,"A",191
163.8,"A",192
189.4,"A",193
195,"A",194
202.6,"A",195
190.4,"A",196
187.4,"A",197
185.2,"A",198
170.6,"A",199
167.4,"A",200
204.6,"A",201
208,"A",202
212,"A",203
208,"A",204
241.4,"A",205
247.6,"A",206
221,"A",207
230.4,"A",208
232.4,"A",209
221,"A",210
206.2,"A",211
203.2,"A",212
220.2,"A",213
225,"A",214
221.6,"A",215
213.4,"A",216
212.8,"A",217
226.2,"A",218
205.2,"A",219
174.4,"A",220
162.8,"A",221
199.6,"A",222
221.2,"A",223
212,"A",224
201.4,"A",225
220.4,"A",226
186.8,"A",227
184.6,"A",228
180.8,"A",229
202.2,"A",230
208.8,"A",231
209.8,"A",232
208,"A",233
223,"A",234
213.4,"A",235
214.2,"A",236
205.8,"A",237
197.2,"A",238
197.6,"A",239
195.4,"A",240
204.8,"A",241
220,"A",242
220.2,"A",243
218.6,"A",244
226.8,"A",245
261.4,"A",246
263,"A",247
260.2,"A",248
351.4,"A",249
364.2,"A",250
361.4,"A",251
372,"A",252
395.2,"A",253
372.4,"A",254
392.8,"A",255
365.8,"A",256
305.8,"A",257
349.6,"A",258
338.2,"A",259
355.6,"A",260
319,"A",261
321.8,"A",262
380.2,"A",263
453,"A",264
437.6,"A",265
412.8,"A",266
402.4,"A",267
387.8,"A",268
218.6,"A",269
402.6,"A",270
398.8,"A",271
425.8,"A",272
384,"A",273
364,"A",274
348,"A",275
357.6,"A",276
364.2,"A",277
374.8,"A",278
375.8,"A",279
341,"A",280
305.4,"A",281
320.8,"A",282
294.4,"A",283
298.2,"A",284
296,"A",285
292,"A",286
289.4,"A",287
256,"A",288
251,"A",289
250,"A",290
244.4,"A",291
264.2,"A",292
280.4,"A",293
290.8,"A",294
316.6,"A",295
332.8,"A",296
343.4,"A",297
342,"A",298
328.8,"A",299
369.8,"A",300
452.6,"A",301
468,"A",302
505.2,"A",303
483.4,"A",304
560.2,"A",305
549.8,"A",306
542.8,"A",307
467.2,"A",308
499.4,"A",309
527.6,"A",310
554.6,"A",311
559.4,"A",312
539.8,"A",313
544.6,"A",314
502,"A",315
418.4,"A",316
381.8,"A",317
421.2,"A",318
435.8,"A",319
430.4,"A",320
450.2,"A",321
430.4,"A",322
455.6,"A",323
439.4,"A",324
393.6,"A",325
398.4,"A",326
351.6,"A",327
366.6,"A",328
386,"A",329
437,"A",330
460.6,"A",331
466.2,"A",332
463,"A",333
450.8,"A",334
443.4,"A",335
427,"A",336
444,"A",337
399.4,"A",338
410.8,"A",339
403,"A",340
402.4,"A",341
376.8,"A",342
373.6,"A",343
394.2,"A",344
364.8,"A",345
405.2,"A",346
405.8,"A",347
370,"A",348
432.2,"A",349
453,"A",350
497.8,"A",351
492.8,"A",352
456.6,"A",353
478.4,"A",354
465,"A",355
423.2,"A",356
392.2,"A",357
381,"A",358
370.6,"A",359
366.4,"A",360
361,"A",361
322.2,"A",362
289,"A",363
281,"A",364
285.8,"A",365
297.2,"A",366
315,"A",367
306.2,"A",368
287,"A",369
300.8,"A",370
298,"A",371
329,"A",372
337.8,"A",373
328.6,"A",374
296.8,"A",375
279.2,"A",376
243.8,"A",377
246.8,"A",378
265.2,"A",379
267.8,"A",380
259.4,"A",381
241.4,"A",382
251.4,"A",383
279.8,"A",384
281.2,"A",385
281.2,"A",386
272.4,"A",387
259.6,"A",388
256.2,"A",389
232.4,"A",390
218.4,"A",391
216.8,"A",392
237.4,"A",393
223,"A",394
210.4,"A",395
225,"A",396
230,"A",397
255.8,"A",398
240.2,"A",399
262.2,"A",400
274.8,"A",401
327.4,"A",402
371.4,"A",403
404.4,"A",404
386.4,"A",405
499.6,"A",406
472.4,"A",407
424.2,"A",408
448.2,"A",409
419,"A",410
433.2,"A",411
419.2,"A",412
380.4,"A",413
407,"A",414
406.4,"A",415
405.8,"A",416
532.2,"A",417
470.2,"A",418
461.6,"A",419
425.6,"A",420
687.2,"A",421
489.2,"A",422
527.6,"A",423
561.6,"A",424
609.6,"A",425
564,"A",426
511.8,"A",427
523.2,"A",428
425.4,"A",429
404.4,"A",430
363.6,"A",431
350,"A",432
378.8,"A",433
350.2,"A",434
378.6,"A",435
380.4,"A",436
374,"A",437
707.6,"A",438
382.4,"A",439
403.6,"A",440
404.4,"A",441
366,"A",442
677.6,"A",443
362,"A",444
361.2,"A",445
334.4,"A",446
318.2,"A",447
309,"A",448
308.2,"A",449
340.4,"A",450
335.6,"A",451
366.4,"A",452
350.4,"A",453
387,"A",454
407.6,"A",455
449.8,"A",456
458,"A",457
426.6,"A",458
431,"A",459
444.8,"A",460
451.6,"A",461
398.2,"A",462
297.8,"B",1
296.8,"B",2
282.8,"B",3
238,"B",4
192.8,"B",5
208.6,"B",6
198.8,"B",7
190.2,"B",8
169,"B",9
208.6,"B",10
292.4,"B",11
209.8,"B",12
231,"B",13
271.2,"B",14
256.2,"B",15
287,"B",16
265,"B",17
322,"B",18
402.2,"B",19
486.4,"B",20
606.6,"B",21
583,"B",22
469.8,"B",23
393.8,"B",24
408.8,"B",25
313,"B",26
302.2,"B",27
236.4,"B",28
217,"B",29
180.4,"B",30
172.4,"B",31
157.2,"B",32
157.6,"B",33
145.4,"B",34
147.4,"B",35
158,"B",36
159.8,"B",37
163.2,"B",38
33,"B",39
182.4,"B",40
194.4,"B",41
171.8,"B",42
234.6,"B",43
217,"B",44
286,"B",45
285.8,"B",46
321,"B",47
331.8,"B",48
295,"B",49
307.6,"B",50
344.6,"B",51
371.4,"B",52
69.8,"B",53
432.6,"B",54
415,"B",55
437.6,"B",56
399.8,"B",57
337.4,"B",58
274,"B",59
267.4,"B",60
257,"B",61
243.6,"B",62
237.6,"B",63
237,"B",64
229.2,"B",65
186.4,"B",66
297.6,"B",67
314.8,"B",68
359.4,"B",69
366.2,"B",70
385.4,"B",71
380.8,"B",72
385.6,"B",73
388.4,"B",74
418,"B",75
480.4,"B",76
449.2,"B",77
427.8,"B",78
389.4,"B",79
340.6,"B",80
265.6,"B",81
238.6,"B",82
205.6,"B",83
177.8,"B",84
53,"B",85
199.6,"B",86
165.4,"B",87
158.8,"B",88
250.6,"B",89
162.6,"B",90
163.6,"B",91
180.2,"B",92
193.4,"B",93
248.6,"B",94
286.2,"B",95
266.6,"B",96
255.4,"B",97
295.6,"B",98
296.6,"B",99
350.2,"B",100
243,"B",101
348,"B",102
346.6,"B",103
406.4,"B",104
335,"B",105
419.2,"B",106
395,"B",107
373.2,"B",108
379.6,"B",109
445.2,"B",110
495.6,"B",111
516.8,"B",112
502.2,"B",113
443.8,"B",114
401.8,"B",115
385.4,"B",116
476.2,"B",117
509.4,"B",118
507.8,"B",119
424.4,"B",120
652.6,"B",121
703.4,"B",122
670.8,"B",123
633.4,"B",124
635.2,"B",125
601,"B",126
531.4,"B",127
549.8,"B",128
513.6,"B",129
457.2,"B",130
356,"B",131
319.8,"B",132
284.8,"B",133
239.8,"B",134
222.2,"B",135
223.8,"B",136
215,"B",137
210,"B",138
180.6,"B",139
234,"B",140
238.2,"B",141
231.6,"B",142
217.2,"B",143
226.8,"B",144
249.2,"B",145
270.6,"B",146
323.4,"B",147
381.4,"B",148
412.6,"B",149
461.2,"B",150
503,"B",151
498,"B",152
460.2,"B",153
409.8,"B",154
458.2,"B",155
477,"B",156
524,"B",157
561.8,"B",158
531,"B",159
560.8,"B",160
516.4,"B",161
512.2,"B",162
455.4,"B",163
430,"B",164
378,"B",165
372.6,"B",166
369.6,"B",167
399.4,"B",168
409.8,"B",169
479.8,"B",170
530.8,"B",171
498.6,"B",172
554.2,"B",173
540.2,"B",174
612.6,"B",175
543.8,"B",176
752.8,"B",177
806.6,"B",178
733,"B",179
705.6,"B",180
641.6,"B",181
624.8,"B",182
512,"B",183
395.6,"B",184
318,"B",185
257,"B",186
225,"B",187
201,"B",188
176.8,"B",189
183.4,"B",190
155,"B",191
168.4,"B",192
176.2,"B",193
157.8,"B",194
147.4,"B",195
135.8,"B",196
172.2,"B",197
170.4,"B",198
158.4,"B",199
179.4,"B",200
190.6,"B",201
180.4,"B",202
243.4,"B",203
240.8,"B",204
287,"B",205
331.2,"B",206
367.8,"B",207
323.6,"B",208
319.4,"B",209
350.2,"B",210
385.2,"B",211
364,"B",212
343.4,"B",213
317.2,"B",214
291.6,"B",215
300,"B",216
264,"B",217
256.8,"B",218
234,"B",219
213.8,"B",220
208.6,"B",221
219.6,"B",222
293.8,"B",223
345,"B",224
346.6,"B",225
300,"B",226
318.4,"B",227
359,"B",228
373,"B",229
397.4,"B",230
424.2,"B",231
484.6,"B",232
564,"B",233
472.4,"B",234
410.2,"B",235
405.8,"B",236
356.8,"B",237
330.6,"B",238
273.6,"B",239
252.8,"B",240
253.2,"B",241
245.8,"B",242
219,"B",243
178.4,"B",244
201.6,"B",245
196.4,"B",246
196.6,"B",247
196.6,"B",248
223.8,"B",249
253.4,"B",250
296.2,"B",251
363.8,"B",252
465,"B",253
621.8,"B",254
687.6,"B",255
614.4,"B",256
621,"B",257
707.8,"B",258
771.4,"B",259
744.2,"B",260
834.4,"B",261
862,"B",262
926.6,"B",263
954.8,"B",264
872,"B",265
828.8,"B",266
737,"B",267
592,"B",268
573.8,"B",269
595.6,"B",270
681.6,"B",271
673.8,"B",272
711.4,"B",273
719.8,"B",274
711,"B",275
685,"B",276
560,"B",277
566.6,"B",278
628.6,"B",279
560.8,"B",280
515.4,"B",281
462.4,"B",282
431,"B",283
435.4,"B",284
507.6,"B",285
429.4,"B",286
401.6,"B",287
331.6,"B",288
327.4,"B",289
290.8,"B",290
289.2,"B",291
294.2,"B",292
283.4,"B",293
275.6,"B",294
276.2,"B",295
290.2,"B",296
251,"B",297
257.6,"B",298
244.6,"B",299
290,"B",300
375.8,"B",301
492.6,"B",302
669.4,"B",303
677.2,"B",304
805.4,"B",305
866.6,"B",306
881.4,"B",307
686.2,"B",308
796.4,"B",309
856.8,"B",310
971.6,"B",311
1022.4,"B",312
934.2,"B",313
894.8,"B",314
880.8,"B",315
789.8,"B",316
791.4,"B",317
690.2,"B",318
662,"B",319
659.8,"B",320
581.6,"B",321
602.2,"B",322
656.8,"B",323
614.2,"B",324
636,"B",325
707.8,"B",326
754.6,"B",327
871.2,"B",328
910.6,"B",329
938,"B",330
992.6,"B",331
1033,"B",332
889.8,"B",333
857.8,"B",334
745.2,"B",335
690.2,"B",336
650.2,"B",337
554.8,"B",338
554.8,"B",339
455,"B",340
485.2,"B",341
470,"B",342
394.4,"B",343
352.2,"B",344
311,"B",345
248.2,"B",346
228.6,"B",347
234.6,"B",348
228.2,"B",349
233,"B",350
194.2,"B",351
236.6,"B",352
213.2,"B",353
237.8,"B",354
266.2,"B",355
279.4,"B",356
279.8,"B",357
324.6,"B",358
356,"B",359
388,"B",360
416,"B",361
354.6,"B",362
358.6,"B",363
440.8,"B",364
396.8,"B",365
368.8,"B",366
403.4,"B",367
377.2,"B",368
345.8,"B",369
316.6,"B",370
304.2,"B",371
329.6,"B",372
328.4,"B",373
403,"B",374
432.6,"B",375
456.2,"B",376
437.2,"B",377
407.6,"B",378
412.8,"B",379
457.2,"B",380
444.2,"B",381
422.8,"B",382
429.6,"B",383
444.8,"B",384
405,"B",385
392.4,"B",386
397.2,"B",387
358.6,"B",388
333,"B",389
256,"B",390
227.4,"B",391
174.2,"B",392
155,"B",393
137.6,"B",394
129.8,"B",395
130,"B",396
128.2,"B",397
125,"B",398
134.2,"B",399
138.4,"B",400
138.4,"B",401
145.4,"B",402
138.6,"B",403
155.4,"B",404
180.8,"B",405
179,"B",406
209,"B",407
218.8,"B",408
253,"B",409
338.4,"B",410
461.6,"B",411
602.6,"B",412
544,"B",413
558.2,"B",414
588,"B",415
591.2,"B",416
516,"B",417
506.2,"B",418
576.8,"B",419
533.4,"B",420
612,"B",421
603.2,"B",422
598.8,"B",423
546.2,"B",424
649.6,"B",425
583.6,"B",426
579.8,"B",427
609.8,"B",428
614.4,"B",429
640.4,"B",430
633.4,"B",431
667.4,"B",432
758.6,"B",433
856.2,"B",434
877.4,"B",435
904.8,"B",436
883.8,"B",437
890,"B",438
884,"B",439
878.8,"B",440
870.6,"B",441
839.6,"B",442
766.4,"B",443
670.6,"B",444
880.2,"B",445
775.8,"B",446
515.2,"B",447
424.6,"B",448
380.4,"B",449
380.2,"B",450
367,"B",451
363.4,"B",452
332.8,"B",453
387.6,"B",454
380.2,"B",455
402,"B",456
436.4,"B",457
475.2,"B",458
509.8,"B",459
564.2,"B",460
591.6,"B",461
631.6,"B",462
403.8,"C",1
435.2,"C",2
455.4,"C",3
437,"C",4
362.6,"C",5
336.8,"C",6
368.4,"C",7
373,"C",8
396.2,"C",9
385.6,"C",10
360,"C",11
326.8,"C",12
424.8,"C",13
358.6,"C",14
421.6,"C",15
376.4,"C",16
411.4,"C",17
98.4,"C",18
503.2,"C",19
542.2,"C",20
608.2,"C",21
589.8,"C",22
564.6,"C",23
486.2,"C",24
469.4,"C",25
333,"C",26
229.2,"C",27
374.4,"C",28
313.8,"C",29
256,"C",30
245.2,"C",31
244.8,"C",32
248.6,"C",33
261,"C",34
246.4,"C",35
257.2,"C",36
251.8,"C",37
255.8,"C",38
318.8,"C",39
33,"C",40
334.6,"C",41
345.8,"C",42
362.8,"C",43
421.8,"C",44
445.4,"C",45
479,"C",46
394.2,"C",47
440.4,"C",48
543.8,"C",49
489.6,"C",50
627,"C",51
442.8,"C",52
433,"C",53
559.4,"C",54
565,"C",55
479.6,"C",56
605.6,"C",57
604.4,"C",58
518.6,"C",59
517.8,"C",60
427,"C",61
582.8,"C",62
543.4,"C",63
462.2,"C",64
429.2,"C",65
371,"C",66
505,"C",67
507.6,"C",68
540.2,"C",69
518.6,"C",70
520.8,"C",71
517.2,"C",72
539,"C",73
480,"C",74
537.6,"C",75
540.8,"C",76
519.8,"C",77
531.6,"C",78
450.4,"C",79
490.2,"C",80
438.8,"C",81
361.2,"C",82
347.2,"C",83
340,"C",84
315.8,"C",85
330.8,"C",86
299.2,"C",87
292.6,"C",88
323.8,"C",89
345.8,"C",90
325,"C",91
332.2,"C",92
299.8,"C",93
389.6,"C",94
415,"C",95
366.2,"C",96
381.4,"C",97
357.4,"C",98
326.2,"C",99
385,"C",100
357.4,"C",101
336.4,"C",102
390.4,"C",103
505.4,"C",104
427.6,"C",105
546.2,"C",106
503.2,"C",107
529.8,"C",108
544,"C",109
613.6,"C",110
610.2,"C",111
646.6,"C",112
675.4,"C",113
719.6,"C",114
631.8,"C",115
628.2,"C",116
690.6,"C",117
717.2,"C",118
707.4,"C",119
518.4,"C",120
851.8,"C",121
748.4,"C",122
738.2,"C",123
628,"C",124
647.6,"C",125
674.4,"C",126
671.4,"C",127
671.8,"C",128
570.6,"C",129
546.6,"C",130
438.8,"C",131
437.6,"C",132
381.2,"C",133
359.2,"C",134
358.2,"C",135
357.2,"C",136
324,"C",137
314.2,"C",138
299,"C",139
334.2,"C",140
335.4,"C",141
338,"C",142
342.8,"C",143
319,"C",144
373,"C",145
397.6,"C",146
387.6,"C",147
417.4,"C",148
464.4,"C",149
548.4,"C",150
590.2,"C",151
558,"C",152
580.6,"C",153
535.4,"C",154
583.4,"C",155
622.8,"C",156
591,"C",157
678.4,"C",158
722.8,"C",159
732.4,"C",160
663.2,"C",161
679.2,"C",162
665,"C",163
710,"C",164
668,"C",165
674.2,"C",166
558,"C",167
648.2,"C",168
670,"C",169
708.6,"C",170
719.8,"C",171
664.8,"C",172
725.4,"C",173
706.2,"C",174
693.8,"C",175
745.4,"C",176
819.4,"C",177
802,"C",178
899,"C",179
888.6,"C",180
688.2,"C",181
692.2,"C",182
502,"C",183
482,"C",184
400.8,"C",185
340.4,"C",186
347.2,"C",187
291.2,"C",188
277.4,"C",189
255.2,"C",190
253.8,"C",191
242.2,"C",192
277,"C",193
